DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2015.03.09,50260,50385,49285,49285,134596,342466,5
2015.03.10,49025,49710,48600,48640,174807,474970,5
2015.03.11,48835,50070,48735,49460,140384,384288,5
2015.03.12,49615,50185,49090,49185,131569,360492,5
2015.03.13,49060,49160,48050,49100,166513,437096,5
2015.03.16,49050,49750,48745,49060,124613,318848,5
2015.03.17,49000,50805,48895,50780,150518,396319,5
2015.03.18,50545,52235,50120,52015,181478,470250,5
2015.03.19,51760,51940,51105,51310,155093,396798,5
2015.03.20,51500,52680,51365,52085,162831,415663,5
2015.03.23,52200,52540,51850,52255,141649,359981,5
2015.03.24,52500,52735,51265,52050,134442,349104,5
2015.03.25,51750,52645,51730,52020,149518,388431,5
2015.03.26,51800,51965,50580,50580,148142,382389,5
2015.03.27,50825,50825,50065,50325,132695,344582,5
2015.03.30,50590,51505,50380,51485,123343,319584,5
2015.03.31,51170,51760,50720,51175,127502,341477,5
2015.04.01,51335,52815,51330,52610,132379,337680,5
2015.04.02,52370,53540,52300,53345,152521,394638,5
2015.04.06,53220,54295,53025,53805,129544,329625,5
2015.04.07,53935,54175,53520,53960,132972,348382,5
2015.04.08,54200,54685,53545,53695,168017,434655,5
2015.04.09,53675,54110,53345,53865,144126,353400,5
2015.04.10,54045,54435,53415,54345,132670,325758,5
2015.04.13,54235,54880,53980,54270,140143,343485,5
2015.04.14,54240,54745,53760,54145,148458,374100,5
2015.04.15,55010,55945,54950,55900,139140,337217,5
2015.04.16,55600,55840,55180,55700,133906,334069,5
2015.04.17,55300,55350,54685,54930,133284,338496,5
2015.04.20,55150,55315,54275,54395,123128,308306,5
2015.04.22,54450,55690,54220,55340,136916,346864,5
2015.04.23,55065,56640,54720,56465,158750,406081,5
2015.04.24,56350,57770,56350,57400,141211,359335,5
2015.04.27,57400,57745,56040,56320,159809,394874,5
2015.04.28,56115,56790,55730,56640,143248,347608,5
2015.04.29,56470,56470,55725,56205,135457,337717,5
2015.04.30,55950,56965,55555,56935,142511,369420,5
2015.05.04,57385,58295,57210,58295,112410,290361,5
2015.05.05,58050,58900,57735,58900,142500,370819,5
2015.05.06,58800,59250,57505,58180,162569,419289,5
2015.05.07,57900,58070,57120,57645,134129,329198,5
2015.05.08,57910,58495,57215,57735,134038,347772,5
2015.05.11,58080,58145,57565,57575,128011,312935,5
2015.05.12,57250,58050,57110,57190,118233,287754,5
2015.05.13,57495,57625,56680,57100,121004,290642,5
